Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,251.490000,0.000000
2026-03-24,251.640000,0.000596
2026-03-25,252.620000,0.003887
2026-03-26,252.890000,0.001068
2026-03-27,248.800000,-0.016305
2026-03-30,246.630000,-0.008760
2026-03-31,253.790000,0.028618
2026-04-01,255.630000,0.007224
2026-04-02,255.920000,0.001134
2026-04-06,258.860000,0.011422
2026-04-07,253.500000,-0.020924
2026-04-08,258.900000,0.021078
2026-04-09,260.490000,0.006123
2026-04-10,260.480000,-0.000038
2026-04-13,259.200000,-0.004926
2026-04-14,258.830000,-0.001428
2026-04-15,266.430000,0.028940
2026-04-16,263.400000,-0.011438
2026-04-17,270.230000,0.025600
2026-04-20,273.050000,0.010381
2026-04-21,266.170000,-0.025520
2026-04-22,273.170000,0.025959
2026-04-23,273.430000,0.000951
2026-04-24,271.060000,-0.008705
2026-04-27,267.610000,-0.012810
2026-04-28,270.710000,0.011517
2026-04-29,270.170000,-0.001997
2026-04-30,271.350000,0.004358
2026-05-01,280.140000,0.031880
2026-05-04,276.830000,-0.011886
2026-05-05,284.180000,0.026204
2026-05-06,287.510000,0.011650
2026-05-07,287.440000,-0.000243
2026-05-08,293.320000,0.020250
2026-05-11,292.680000,-0.002184
2026-05-12,294.800000,0.007217
2026-05-13,298.870000,0.013712
2026-05-14,298.210000,-0.002211
2026-05-15,300.230000,0.006751
2026-05-18,297.840000,-0.007992
2026-05-19,298.970000,0.003787
2026-05-20,302.250000,0.010911
