Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,247.640000,0.000000
2026-03-24,238.870000,-0.036057
2026-03-25,237.250000,-0.006805
2026-03-26,240.880000,0.015184
2026-03-27,234.840000,-0.025394
2026-03-30,241.130000,0.026432
2026-03-31,243.080000,0.008054
2026-04-01,241.370000,-0.007060
2026-04-02,242.920000,0.006401
2026-04-06,244.355000,0.005890
2026-04-07,240.140000,-0.017400
2026-04-08,239.310000,-0.003462
2026-04-09,229.940000,-0.039941
2026-04-10,225.350000,-0.020164
2026-04-13,240.110000,0.063442
2026-04-14,235.720000,-0.018452
2026-04-15,244.660000,0.037225
2026-04-16,248.155000,0.014184
2026-04-17,244.450000,-0.015043
2026-04-20,248.630000,0.016955
2026-04-21,247.180000,-0.005849
2026-04-22,255.940000,0.034826
2026-04-23,238.980000,-0.068563
2026-04-24,245.440000,0.026673
2026-04-27,239.310000,-0.025293
2026-04-28,243.200000,0.016124
2026-04-29,243.570000,0.001520
2026-04-30,246.100000,0.010334
2026-05-01,250.710000,0.018559
2026-05-04,253.960000,0.012880
2026-05-05,255.620000,0.006515
2026-05-06,250.170000,-0.021551
2026-05-07,256.510000,0.025027
2026-05-08,253.040000,-0.013620
2026-05-11,246.150000,-0.027606
2026-05-12,240.830000,-0.021850
2026-05-13,236.070000,-0.019963
2026-05-14,237.010000,0.003974
2026-05-15,247.600000,0.043712
2026-05-18,255.640000,0.031956
2026-05-19,254.990000,-0.002546
2026-05-20,253.370000,-0.006373
