Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,14.380000,0.000000
2026-03-24,13.570000,-0.057977
2026-03-25,13.620000,0.003678
2026-03-26,12.770000,-0.064441
2026-03-27,11.780000,-0.080695
2026-03-30,11.900000,0.010135
2026-03-31,13.250000,0.107459
2026-04-01,13.590000,0.025337
2026-04-02,13.970000,0.027578
2026-04-06,13.320000,-0.047646
2026-04-07,12.550000,-0.059546
2026-04-08,12.860000,0.024401
2026-04-09,12.440000,-0.033205
2026-04-10,12.530000,0.007209
2026-04-13,13.240000,0.055117
2026-04-14,13.970000,0.053670
2026-04-15,16.230000,0.149949
2026-04-16,15.770000,-0.028752
2026-04-17,16.030000,0.016353
2026-04-20,16.150000,0.007458
2026-04-21,14.850000,-0.083920
2026-04-22,15.760000,0.059475
2026-04-23,14.450000,-0.086781
2026-04-24,14.530000,0.005521
2026-04-27,14.580000,0.003435
2026-04-28,14.090000,-0.034185
2026-04-29,13.220000,-0.063734
2026-04-30,14.360000,0.082716
2026-05-01,14.520000,0.011080
2026-05-04,14.420000,-0.006911
2026-05-05,14.650000,0.015824
2026-05-06,15.680000,0.067946
2026-05-07,15.430000,-0.016072
2026-05-08,14.960000,-0.030934
2026-05-11,15.000000,0.002670
2026-05-12,14.400000,-0.040822
2026-05-13,13.830000,-0.040388
2026-05-14,13.870000,0.002888
2026-05-15,13.340000,-0.038961
2026-05-18,12.740000,-0.046020
2026-05-19,12.170000,-0.045773
2026-05-20,13.090000,0.072875
