Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,2.080000,0.000000
2026-03-24,2.240000,0.074108
2026-03-25,2.370000,0.056414
2026-03-26,2.230000,-0.060888
2026-03-27,3.200000,0.361149
2026-03-30,3.270000,0.021639
2026-03-31,2.630000,-0.217806
2026-04-01,2.520000,-0.042725
2026-04-02,3.170000,0.229473
2026-04-06,3.190000,0.006289
2026-04-07,3.040000,-0.048163
2026-04-08,2.780000,-0.089407
2026-04-09,2.710000,-0.025502
2026-04-10,2.690000,-0.007407
2026-04-13,2.710000,0.007407
2026-04-14,2.710000,0.000000
2026-04-15,2.740000,0.011009
2026-04-16,2.660000,-0.029632
2026-04-17,2.490000,-0.066043
2026-04-20,2.520000,0.011976
2026-04-21,2.450000,-0.028171
2026-04-22,2.270000,-0.076308
2026-04-23,2.250000,-0.008850
2026-04-24,2.290000,0.017622
2026-04-27,2.000000,-0.135405
2026-04-28,2.267000,0.125310
2026-04-29,2.280000,0.005718
2026-04-30,2.230000,-0.022174
2026-05-01,2.340000,0.048149
2026-05-04,2.690000,0.139390
2026-05-05,2.840000,0.054263
2026-05-06,2.720000,-0.043172
2026-05-07,2.660000,-0.022306
2026-05-08,2.370000,-0.115436
2026-05-11,2.270000,-0.043110
2026-05-12,2.240000,-0.013304
2026-05-13,2.100000,-0.064539
2026-05-14,2.180000,0.037388
2026-05-15,2.210000,0.013668
2026-05-18,2.080000,-0.060625
2026-05-19,2.160000,0.037740
2026-05-20,2.090000,-0.032944
