Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,974.580000,0.000000
2026-03-24,976.060000,0.001517
2026-03-25,981.350000,0.005405
2026-03-26,968.460000,-0.013222
2026-03-27,933.850000,-0.036391
2026-03-30,934.060000,0.000225
2026-03-31,961.710000,0.029172
2026-04-01,957.400000,-0.004492
2026-04-02,966.560000,0.009522
2026-04-06,959.410000,-0.007425
2026-04-07,958.460000,-0.000991
2026-04-08,1001.540000,0.043966
2026-04-09,1001.620000,0.000080
2026-04-10,999.310000,-0.002309
2026-04-13,1023.650000,0.024065
2026-04-14,1054.560000,0.029749
2026-04-15,1048.600000,-0.005668
2026-04-16,1024.950000,-0.022812
2026-04-17,1052.140000,0.026182
2026-04-20,1048.420000,-0.003542
2026-04-21,1042.850000,-0.005327
2026-04-22,1062.470000,0.018639
2026-04-23,1053.470000,-0.008507
2026-04-24,1044.970000,-0.008101
2026-04-27,1056.860000,0.011314
2026-04-28,1049.760000,-0.006741
2026-04-29,1039.380000,-0.009937
2026-04-30,1065.600000,0.024914
2026-05-01,1061.680000,-0.003685
2026-05-04,1052.250000,-0.008922
2026-05-05,1048.910000,-0.003179
2026-05-06,1073.570000,0.023238
2026-05-07,1067.740000,-0.005445
2026-05-08,1084.830000,0.015879
2026-05-11,1081.320000,-0.003241
2026-05-12,1092.500000,0.010286
2026-05-13,1094.100000,0.001463
2026-05-14,1104.030000,0.009035
2026-05-15,1081.900000,-0.020248
2026-05-18,1085.880000,0.003672
2026-05-19,1036.300000,-0.046734
2026-05-20,1051.570000,0.014628
