Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,99.750000,0.000000
2026-03-24,97.680000,-0.020970
2026-03-25,99.120000,0.014634
2026-03-26,98.110000,-0.010242
2026-03-27,95.350000,-0.028535
2026-03-30,94.120000,-0.012984
2026-03-31,98.570000,0.046196
2026-04-01,96.190000,-0.024442
2026-04-02,96.540000,0.003632
2026-04-06,99.380000,0.028993
2026-04-07,96.290000,-0.031586
2026-04-08,91.060000,-0.055846
2026-04-09,90.530000,-0.005837
2026-04-10,90.030000,-0.005538
2026-04-13,93.530000,0.038139
2026-04-14,91.460000,-0.022381
2026-04-15,98.780000,0.076993
2026-04-16,103.450000,0.046193
2026-04-17,100.510000,-0.028831
2026-04-20,104.840000,0.042178
2026-04-21,102.630000,-0.021305
2026-04-22,105.520000,0.027770
2026-04-23,100.290000,-0.050835
2026-04-24,103.450000,0.031022
2026-04-27,103.300000,-0.001451
2026-04-28,106.240000,0.028063
2026-04-29,106.820000,0.005444
2026-04-30,110.100000,0.030244
2026-05-01,111.250000,0.010391
2026-05-04,110.230000,-0.009211
2026-05-05,104.030000,-0.057890
2026-05-06,105.020000,0.009471
2026-05-07,113.610000,0.078621
2026-05-08,107.990000,-0.050733
2026-05-11,105.150000,-0.026651
2026-05-12,106.010000,0.008146
2026-05-13,104.980000,-0.009764
2026-05-14,109.155000,0.038999
2026-05-15,112.060000,0.026266
2026-05-18,113.240000,0.010475
2026-05-19,114.100000,0.007566
2026-05-20,106.820000,-0.065930
