Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,70.460000,0.000000
2026-03-24,69.350000,-0.015879
2026-03-25,70.510000,0.016588
2026-03-26,68.160000,-0.033897
2026-03-27,67.860000,-0.004411
2026-03-30,67.320000,-0.007989
2026-03-31,69.750000,0.035460
2026-04-01,70.280000,0.007570
2026-04-02,69.560000,-0.010298
2026-04-06,70.140000,0.008304
2026-04-07,70.330000,0.002705
2026-04-08,74.140000,0.052757
2026-04-09,73.940000,-0.002701
2026-04-10,74.250000,0.004184
2026-04-13,74.940000,0.009250
2026-04-14,76.300000,0.017985
2026-04-15,76.290000,-0.000131
2026-04-16,76.640000,0.004577
2026-04-17,78.100000,0.018871
2026-04-20,77.540000,-0.007196
2026-04-21,76.440000,-0.014288
2026-04-22,77.900000,0.018920
2026-04-23,76.570000,-0.017221
2026-04-24,78.170000,0.020681
2026-04-27,78.020000,-0.001921
2026-04-28,77.270000,-0.009659
2026-04-29,76.970000,-0.003890
2026-04-30,78.490000,0.019555
2026-05-01,78.650000,0.002036
2026-05-04,78.580000,-0.000890
2026-05-05,80.150000,0.019783
2026-05-06,82.550000,0.029504
2026-05-07,81.470000,-0.013169
2026-05-08,83.010000,0.018726
2026-05-11,82.970000,-0.000482
2026-05-12,80.450000,-0.030843
2026-05-13,82.050000,0.019693
2026-05-14,82.290000,0.002921
2026-05-15,79.490000,-0.034618
2026-05-18,79.410000,-0.001007
2026-05-19,78.530000,-0.011144
2026-05-20,79.940000,0.017796
