Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,2.340000,0.000000
2026-03-24,2.360000,0.008511
2026-03-25,2.330000,-0.012793
2026-03-26,2.415000,0.035831
2026-03-27,2.350000,-0.027284
2026-03-30,2.350000,0.000000
2026-03-31,2.308400,-0.017861
2026-04-01,2.330000,0.009314
2026-04-02,2.546300,0.088773
2026-04-06,2.510000,-0.014359
2026-04-07,2.680000,0.065534
2026-04-08,2.700000,0.007435
2026-04-09,2.468500,-0.089641
2026-04-10,2.440000,-0.011613
2026-04-13,2.500000,0.024293
2026-04-14,2.740000,0.091667
2026-04-15,2.920000,0.063626
2026-04-16,3.148000,0.075184
2026-04-17,3.316000,0.051992
2026-04-20,3.070000,-0.077082
2026-04-21,3.150000,0.025725
2026-04-22,3.330000,0.055570
2026-04-23,3.300000,-0.009050
2026-04-24,3.260000,-0.012195
2026-04-27,3.060000,-0.063312
2026-04-28,2.950000,-0.036610
2026-04-29,2.887200,-0.021518
2026-04-30,2.740000,-0.052329
2026-05-01,3.000000,0.090654
2026-05-04,3.230000,0.073870
2026-05-05,3.270000,0.012308
2026-05-06,3.580000,0.090573
2026-05-07,3.350000,-0.066402
2026-05-11,3.250000,-0.030305
2026-05-12,3.500000,0.074108
2026-05-13,3.417200,-0.023941
2026-05-14,3.510000,0.026795
2026-05-15,3.200000,-0.092465
2026-05-18,3.259200,0.018331
2026-05-19,3.500000,0.071281
2026-05-20,3.510000,0.002853
