Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,140.970000,0.000000
2026-03-24,142.800000,0.012898
2026-03-25,145.840000,0.021065
2026-03-26,143.180000,-0.018408
2026-03-27,141.190000,-0.013996
2026-03-30,140.770000,-0.002979
2026-03-31,144.880000,0.028778
2026-04-01,147.840000,0.020225
2026-04-02,151.640000,0.025379
2026-04-06,153.750000,0.013819
2026-04-07,153.420000,-0.002149
2026-04-08,157.270000,0.024785
2026-04-09,151.150000,-0.039691
2026-04-10,150.840000,-0.002053
2026-04-13,150.540000,-0.001991
2026-04-14,156.700000,0.040104
2026-04-15,161.100000,0.027692
2026-04-16,162.660000,0.009637
2026-04-17,160.870000,-0.011066
2026-04-20,161.010000,0.000870
2026-04-21,155.420000,-0.035335
2026-04-22,154.230000,-0.007686
2026-04-23,145.410000,-0.058888
2026-04-24,148.110000,0.018398
2026-04-27,152.000000,0.025925
2026-04-28,150.000000,-0.013245
2026-04-29,147.600000,-0.016129
2026-04-30,149.830000,0.014995
2026-05-01,135.110000,-0.103412
2026-05-04,140.640000,0.040114
2026-05-05,138.000000,-0.018950
2026-05-06,141.110000,0.022286
2026-05-07,139.030000,-0.014850
2026-05-08,139.810000,0.005595
2026-05-11,141.760000,0.013851
2026-05-12,140.850000,-0.006440
2026-05-13,141.890000,0.007357
2026-05-14,141.630000,-0.001834
2026-05-15,140.020000,-0.011433
2026-05-18,145.260000,0.036740
2026-05-19,146.300000,0.007134
2026-05-20,147.380000,0.007355
