Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,136.950000,0.000000
2026-03-24,136.150000,-0.005859
2026-03-25,136.760000,0.004470
2026-03-26,132.500000,-0.031645
2026-03-27,129.920000,-0.019664
2026-03-30,127.500000,-0.018803
2026-03-31,132.900000,0.041481
2026-04-01,134.910000,0.015011
2026-04-02,135.990000,0.007973
2026-04-06,136.780000,0.005792
2026-04-07,137.430000,0.004741
2026-04-08,141.690000,0.030527
2026-04-09,142.070000,0.002678
2026-04-10,142.620000,0.003864
2026-04-13,145.610000,0.020748
2026-04-14,147.940000,0.015875
2026-04-15,150.300000,0.015827
2026-04-16,152.020000,0.011379
2026-04-17,154.350000,0.015211
2026-04-20,154.560000,0.001360
2026-04-21,154.690000,0.000841
2026-04-22,158.090000,0.021741
2026-04-23,155.840000,-0.014335
2026-04-24,160.220000,0.027718
2026-04-27,160.570000,0.002182
2026-04-28,157.850000,-0.017085
2026-04-29,159.110000,0.007951
2026-04-30,159.500000,0.002448
2026-05-01,161.870000,0.014750
2026-05-04,162.050000,0.001111
2026-05-05,165.630000,0.021851
2026-05-06,170.030000,0.026219
2026-05-07,169.690000,-0.002002
2026-05-08,175.520000,0.033780
2026-05-11,177.880000,0.013356
2026-05-12,175.200000,-0.015181
2026-05-13,176.850000,0.009374
2026-05-14,179.500000,0.014873
2026-05-15,176.260000,-0.018215
2026-05-18,174.360000,-0.010838
2026-05-19,173.240000,-0.006444
2026-05-20,177.140000,0.022262
