Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,18.180000,0.000000
2026-03-24,18.310000,0.007125
2026-03-25,18.810000,0.026941
2026-03-26,18.030000,-0.042352
2026-03-27,17.850000,-0.010034
2026-03-30,17.510000,-0.019231
2026-03-31,18.290000,0.043582
2026-04-01,18.250000,-0.002189
2026-04-02,18.050000,-0.011019
2026-04-06,17.890000,-0.008904
2026-04-07,17.850000,-0.002238
2026-04-08,18.520000,0.036848
2026-04-09,18.640000,0.006459
2026-04-10,18.920000,0.014910
2026-04-13,18.970000,0.002639
2026-04-14,19.730000,0.039282
2026-04-15,19.530000,-0.010189
2026-04-16,19.350000,-0.009259
2026-04-17,19.400000,0.002581
2026-04-20,19.650000,0.012804
2026-04-21,19.400000,-0.012804
2026-04-22,19.850000,0.022931
2026-04-23,20.140000,0.014504
2026-04-24,19.990000,-0.007476
2026-04-27,20.180000,0.009460
2026-04-28,19.840000,-0.016992
2026-04-29,20.330000,0.024398
2026-04-30,20.770000,0.021412
2026-05-01,20.950000,0.008629
2026-05-04,20.760000,-0.009111
2026-05-05,21.290000,0.025209
2026-05-06,21.320000,0.001408
2026-05-07,20.710000,-0.029029
2026-05-08,21.160000,0.021496
2026-05-11,21.730000,0.026581
2026-05-12,21.380000,-0.016238
2026-05-13,21.880000,0.023117
2026-05-14,22.130000,0.011361
2026-05-15,21.790000,-0.015483
2026-05-18,21.330000,-0.021337
2026-05-19,20.990000,-0.016068
2026-05-20,21.520000,0.024937
