Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,55.760000,0.000000
2026-03-24,55.320000,-0.007922
2026-03-25,56.450000,0.020221
2026-03-26,55.320000,-0.020221
2026-03-27,54.590000,-0.013284
2026-03-30,55.140000,0.010025
2026-03-31,56.520000,0.024719
2026-04-01,56.720000,0.003532
2026-04-02,56.583000,-0.002418
2026-04-06,56.800000,0.003828
2026-04-07,56.760000,-0.000704
2026-04-08,57.890000,0.019713
2026-04-09,57.520000,-0.006412
2026-04-10,57.660000,0.002431
2026-04-13,59.070000,0.024159
2026-04-14,60.500000,0.023920
2026-04-15,62.030000,0.024975
2026-04-16,61.450000,-0.009394
2026-04-17,62.740000,0.020775
2026-04-20,62.520000,-0.003513
2026-04-21,62.280000,-0.003846
2026-04-22,62.660000,0.006083
2026-04-23,60.740000,-0.031121
2026-04-24,60.650000,-0.001483
2026-04-27,60.260000,-0.006451
2026-04-28,59.940900,-0.005309
2026-04-29,58.960000,-0.016500
2026-04-30,60.920000,0.032702
2026-05-01,61.090000,0.002787
2026-05-04,60.902600,-0.003072
2026-05-05,61.813200,0.014841
2026-05-06,62.252000,0.007074
2026-05-07,61.234700,-0.016477
2026-05-08,62.127000,0.014467
2026-05-11,61.320000,-0.013075
2026-05-12,60.950000,-0.006052
2026-05-13,60.450000,-0.008237
2026-05-14,60.290000,-0.002650
2026-05-15,59.760000,-0.008830
2026-05-18,59.720900,-0.000654
2026-05-19,58.740000,-0.016561
2026-05-20,60.020000,0.021557
