Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,383.000000,0.000000
2026-03-24,372.740000,-0.027154
2026-03-25,371.040000,-0.004571
2026-03-26,365.970000,-0.013759
2026-03-27,356.770000,-0.025460
2026-03-30,358.960000,0.006120
2026-03-31,370.170000,0.030751
2026-04-01,369.370000,-0.002164
2026-04-02,373.460000,0.011012
2026-04-06,372.880000,-0.001554
2026-04-07,372.290000,-0.001584
2026-04-08,374.330000,0.005465
2026-04-09,373.070000,-0.003372
2026-04-10,370.870000,-0.005914
2026-04-13,384.370000,0.035754
2026-04-14,393.110000,0.022484
2026-04-15,411.220000,0.045039
2026-04-16,420.260000,0.021745
2026-04-17,422.790000,0.006002
2026-04-20,418.070000,-0.011227
2026-04-21,424.160000,0.014462
2026-04-22,432.920000,0.020442
2026-04-23,415.750000,-0.040469
2026-04-24,424.620000,0.021111
2026-04-27,424.820000,0.000471
2026-04-28,429.250000,0.010374
2026-04-29,424.460000,-0.011222
2026-04-30,407.780000,-0.040090
2026-05-01,414.440000,0.016200
2026-05-04,413.620000,-0.001981
2026-05-05,411.380000,-0.005430
2026-05-06,413.960000,0.006252
2026-05-07,420.770000,0.016317
2026-05-08,415.120000,-0.013519
2026-05-11,412.660000,-0.005944
2026-05-12,407.770000,-0.011921
2026-05-13,405.210000,-0.006298
2026-05-14,409.430000,0.010360
2026-05-15,421.920000,0.030050
2026-05-18,423.540000,0.003832
2026-05-19,417.420000,-0.014555
2026-05-20,421.060000,0.008682
