Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,180.540000,0.000000
2026-03-24,179.850000,-0.003829
2026-03-25,181.190000,0.007423
2026-03-26,178.040000,-0.017538
2026-03-27,175.420000,-0.014825
2026-03-30,174.940000,-0.002740
2026-03-31,180.020000,0.028625
2026-04-01,181.810000,0.009894
2026-04-02,181.720000,-0.000495
2026-04-06,182.520000,0.004393
2026-04-07,182.470000,-0.000274
2026-04-08,187.660000,0.028046
2026-04-09,188.360000,0.003723
2026-04-10,188.380000,0.000106
2026-04-13,189.990000,0.008510
2026-04-14,192.000000,0.010524
2026-04-15,193.330000,0.006903
2026-04-16,193.380000,0.000259
2026-04-17,195.790000,0.012385
2026-04-20,195.510000,-0.001431
2026-04-21,193.280000,-0.011472
2026-04-22,194.920000,0.008449
2026-04-23,193.820000,-0.005659
2026-04-24,195.270000,0.007453
2026-04-27,195.450000,0.000921
2026-04-28,194.430000,-0.005232
2026-04-29,193.870000,-0.002884
2026-04-30,196.550000,0.013729
2026-05-01,196.760000,0.001068
2026-05-04,195.560000,-0.006117
2026-05-05,197.030000,0.007489
2026-05-06,200.630000,0.018106
2026-05-07,199.120000,-0.007555
2026-05-08,200.640000,0.007605
2026-05-11,200.880000,0.001195
2026-05-12,200.570000,-0.001544
2026-05-13,201.630000,0.005271
2026-05-14,202.740000,0.005490
2026-05-15,199.920000,-0.014007
2026-05-18,200.250000,0.001649
2026-05-19,198.970000,-0.006413
2026-05-20,201.490000,0.012586
