Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,134.550000,0.000000
2026-03-24,133.981800,-0.004232
2026-03-25,134.580000,0.004455
2026-03-26,134.240000,-0.002530
2026-03-27,132.150000,-0.015692
2026-03-30,132.380100,0.001740
2026-03-31,134.610000,0.016704
2026-04-01,134.880000,0.002004
2026-04-02,135.170000,0.002148
2026-04-06,135.936100,0.005652
2026-04-07,135.711500,-0.001654
2026-04-08,138.180000,0.018026
2026-04-09,138.590900,0.002969
2026-04-10,137.122600,-0.010651
2026-04-13,138.993400,0.013551
2026-04-14,139.520500,0.003785
2026-04-15,140.122400,0.004305
2026-04-16,140.760000,0.004540
2026-04-17,143.231600,0.017407
2026-04-20,144.010700,0.005425
2026-04-21,143.180200,-0.005784
2026-04-22,143.080000,-0.000700
2026-04-23,142.359700,-0.005047
2026-04-24,142.392100,0.000228
2026-04-27,142.845000,0.003176
2026-04-28,143.230000,0.002692
2026-04-29,142.350000,-0.006163
2026-04-30,144.310000,0.013675
2026-05-01,144.670000,0.002492
2026-05-04,143.309400,-0.009449
2026-05-05,144.300000,0.006889
2026-05-06,144.926000,0.004329
2026-05-07,144.316500,-0.004214
2026-05-08,144.617900,0.002086
2026-05-11,142.555000,-0.014367
2026-05-12,142.153400,-0.002821
2026-05-13,140.908700,-0.008795
2026-05-14,141.454000,0.003862
2026-05-15,140.300700,-0.008187
2026-05-18,141.690000,0.009854
2026-05-19,141.083900,-0.004287
2026-05-20,142.930000,0.013000
