Data,Prezzo_Chiusura,Rendimento_Logaritmico
2026-03-23,63.660000,0.000000
2026-03-24,63.150000,-0.008044
2026-03-25,63.970000,0.012901
2026-03-26,62.480000,-0.023568
2026-03-27,62.050000,-0.006906
2026-03-30,62.030000,-0.000322
2026-03-31,64.080000,0.032514
2026-04-01,65.140000,0.016406
2026-04-02,64.640000,-0.007705
2026-04-06,65.120000,0.007398
2026-04-07,65.090000,-0.000461
2026-04-08,67.820000,0.041086
2026-04-09,67.550000,-0.003989
2026-04-10,67.740000,0.002809
2026-04-13,68.210000,0.006914
2026-04-14,68.890000,0.009920
2026-04-15,68.700000,-0.002762
2026-04-16,68.630000,-0.001019
2026-04-17,69.630000,0.014466
2026-04-20,69.330000,-0.004318
2026-04-21,67.820000,-0.022021
2026-04-22,68.350000,0.007784
2026-04-23,67.690000,-0.009703
2026-04-24,68.140000,0.006626
2026-04-27,68.070000,-0.001028
2026-04-28,67.730000,-0.005007
2026-04-29,67.080000,-0.009643
2026-04-30,68.800000,0.025318
2026-05-01,68.720000,-0.001163
2026-05-04,67.910000,-0.011857
2026-05-05,68.980000,0.015633
2026-05-06,70.870000,0.027031
2026-05-07,69.670000,-0.017077
2026-05-08,70.830000,0.016513
2026-05-11,70.820000,-0.000141
2026-05-12,69.970000,-0.012075
2026-05-13,70.630000,0.009388
2026-05-14,70.560000,-0.000992
2026-05-15,69.080000,-0.021198
2026-05-18,69.520000,0.006349
2026-05-19,68.990000,-0.007653
2026-05-20,70.200000,0.017387
